

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


03/10/2021 07:37:22 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:22 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:22 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:22 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:22 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:23 ||| SENDER-1     ||  DATA BIT SEND 1
03/10/2021 07:37:23 ||| CHANNEL...   ||  [1, 1, 1, 1]
03/10/2021 07:37:23 ||| SENDER-3     ||  DATA BIT SEND 1
03/10/2021 07:37:23 ||| CHANNEL...   ||  [1, 1, -1, -1]
03/10/2021 07:37:23 ||| CHANNEL...   ||  [1, -1, 1, -1]1
03/10/2021 07:37:23 ||| SENDER-2     ||  DATA BIT SEND 1
03/10/2021 07:37:23 ||| CHANNEL...   ||  [1, -1, -1, 1]
03/10/2021 07:37:23 ||| RECEIVER-1   ||  BIT RECEIVED : 1
03/10/2021 07:37:23 ||| RECEIVER-2   ||  BIT RECEIVED : 1
03/10/2021 07:37:23 ||| RECEIVER-3   ||  BIT RECEIVED : 1

03/10/2021 07:37:23 ||| DATA : [0, 1, 0, 0, 1, 0, 0, 1]

03/10/2021 07:37:23 ||| DATA : [0, 1, 0, 0, 1, 0, 0, 1]

03/10/2021 07:37:23 ||| CHAR RECEIVED : I
 1, 0, 0, 1]

03/10/2021 07:37:23 ||| CHAR RECEIVED : I


03/10/2021 07:37:23 ||| CHAR RECEIVED : I


03/10/2021 07:37:23 ||| CHAR RECEIVED : I

03/10/2021 07:37:24 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:24 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:24 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:24 ||| CHANNEL...   ||  [-1, -1, 1, 1]
03/10/2021 07:37:24 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:24 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:24 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:24 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:24 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:24 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:24 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:25 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:25 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:25 ||| CHANNEL...   ||  [-1, -1, 1, 1]-1
03/10/2021 07:37:25 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:25 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:25 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:25 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:25 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:25 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:26 ||| CHANNEL...   ||  [1, 1, 1, 1]
03/10/2021 07:37:26 ||| SENDER-1     ||  DATA BIT SEND 1
03/10/2021 07:37:26 ||| SENDER-3     ||  DATA BIT SEND 1
03/10/2021 07:37:26 ||| CHANNEL...   ||  [1, 1, -1, -1]
03/10/2021 07:37:26 ||| CHANNEL...   ||  [1, -1, 1, -1]
03/10/2021 07:37:26 ||| SENDER-4     ||  DATA BIT SEND 1
03/10/2021 07:37:26 ||| SENDER-2     ||  DATA BIT SEND 1
03/10/2021 07:37:26 ||| RECEIVER-1   ||  BIT RECEIVED : 1
03/10/2021 07:37:26 ||| RECEIVER-4   ||  BIT RECEIVED : 1
03/10/2021 07:37:26 ||| RECEIVER-2   ||  BIT RECEIVED : 1
03/10/2021 07:37:26 ||| RECEIVER-3   ||  BIT RECEIVED : 1
03/10/2021 07:37:27 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:27 ||| CHANNEL...   ||  [-1, -1, 1, 1]
03/10/2021 07:37:27 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:27 ||| CHANNEL...   ||  [-1, 1, -1, 1]-1
03/10/2021 07:37:27 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:27 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:27 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:27 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:27 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:28 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:28 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:28 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:28 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:28 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:28 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:28 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:28 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:28 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:28 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:28 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:29 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:29 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:29 ||| CHANNEL...   ||  [-1, -1, 1, 1]
03/10/2021 07:37:29 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:29 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:29 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:29 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:29 ||| RECEIVER-2   ||  BIT RECEIVED : 0
