
-----------------------------------------------------------------------------
	###### CHOSEN CSMA TECHNIQUE IS : NON PERSISTENT METHOD ######

21/09/2021 04:52:54 CHANNEL has been initialised

21/09/2021 04:53:14 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:14 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:14 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:14 SENDER-5    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:14 RECEIVER-6  ||  PACKET RECEIVED


21/09/2021 04:53:15 RECEIVER-7  ||  PACKET RECEIVED


21/09/2021 04:53:16 RECEIVER-4  ||  PACKET RECEIVED


21/09/2021 04:53:16 RECEIVER-2  ||  PACKET RECEIVED


21/09/2021 04:53:17 RECEIVER-3  ||  PACKET RECEIVED

21/09/2021 04:53:17 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:17 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:17 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:18 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:18 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:18 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:18 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:18 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:18 RECEIVER-8  ||  PACKET RECEIVED


21/09/2021 04:53:19 RECEIVER-5  ||  PACKET RECEIVED

21/09/2021 04:53:21 SENDER-7    ||  PACKET 4 SENT TO CHANNEL
21/09/2021 04:53:21 SENDER-6    ||  COLLISION
21/09/2021 04:53:21 SENDER-1    ||  COLLISION
21/09/2021 04:53:22 SENDER-6    ||  PACKET 4 SENT TO CHANNEL
21/09/2021 04:53:22 SENDER-1    ||  PACKET 4 SENT TO CHANNEL
21/09/2021 04:53:22 SENDER-3    ||  PACKET 4 SENT TO CHANNEL
21/09/2021 04:53:22 SENDER-2    ||  COLLISION
21/09/2021 04:53:22 SENDER-4    ||  COLLISION
21/09/2021 04:53:22 SENDER-4    ||  PACKET 4 SENT TO CHANNEL
21/09/2021 04:53:22 SENDER-8    ||  PACKET 4 SENT TO CHANNEL
21/09/2021 04:53:22 SENDER-2    ||  PACKET 4 SENT TO CHANNEL
21/09/2021 04:53:22 SENDER-5    ||  PACKET 4 SENT TO CHANNEL

21/09/2021 04:53:22 RECEIVER-7  ||  PACKET RECEIVED

21/09/2021 04:53:23 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:23 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:23 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:23 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:23 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:23 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:23 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:23 SENDER-2    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:23 RECEIVER-3  ||  PACKET RECEIVED


21/09/2021 04:53:24 RECEIVER-1  ||  PACKET RECEIVED


21/09/2021 04:53:25 RECEIVER-6  ||  PACKET RECEIVED


21/09/2021 04:53:26 RECEIVER-8  ||  PACKET RECEIVED


21/09/2021 04:53:26 RECEIVER-4  ||  PACKET RECEIVED

21/09/2021 04:53:27 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:27 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:27 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:27 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:27 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:27 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:27 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:27 SENDER-4    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:27 RECEIVER-2  ||  PACKET RECEIVED


21/09/2021 04:53:28 RECEIVER-5  ||  PACKET RECEIVED

21/09/2021 04:53:31 SENDER-7    ||  PACKET 5 SENT TO CHANNEL
21/09/2021 04:53:31 SENDER-3    ||  PACKET 5 SENT TO CHANNEL
21/09/2021 04:53:31 SENDER-1    ||  PACKET 5 SENT TO CHANNEL
21/09/2021 04:53:31 SENDER-6    ||  PACKET 5 SENT TO CHANNEL
21/09/2021 04:53:31 SENDER-5    ||  PACKET 5 SENT TO CHANNEL
21/09/2021 04:53:31 SENDER-8    ||  PACKET 5 SENT TO CHANNEL
21/09/2021 04:53:31 SENDER-4    ||  PACKET 5 SENT TO CHANNEL
21/09/2021 04:53:31 SENDER-2    ||  PACKET 5 SENT TO CHANNEL

21/09/2021 04:53:31 RECEIVER-7  ||  PACKET RECEIVED

21/09/2021 04:53:32 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:32 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:32 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:32 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:32 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:32 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:32 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:32 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:32 RECEIVER-3  ||  PACKET RECEIVED


21/09/2021 04:53:33 RECEIVER-6  ||  PACKET RECEIVED


21/09/2021 04:53:34 RECEIVER-1  ||  PACKET RECEIVED


21/09/2021 04:53:35 RECEIVER-8  ||  PACKET RECEIVED


21/09/2021 04:53:36 RECEIVER-5  ||  PACKET RECEIVED

21/09/2021 04:53:36 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:36 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:36 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:36 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:36 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:36 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:36 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:36 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:36 RECEIVER-4  ||  PACKET RECEIVED


21/09/2021 04:53:37 RECEIVER-2  ||  PACKET RECEIVED

21/09/2021 04:53:40 SENDER-7    ||  PACKET 6 SENT TO CHANNEL
21/09/2021 04:53:40 SENDER-3    ||  PACKET 6 SENT TO CHANNEL
21/09/2021 04:53:40 SENDER-6    ||  PACKET 6 SENT TO CHANNEL
21/09/2021 04:53:40 SENDER-1    ||  PACKET 6 SENT TO CHANNEL
21/09/2021 04:53:40 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:40 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:40 SENDER-5    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:41 RECEIVER-7  ||  PACKET RECEIVED

21/09/2021 04:53:41 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:41 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:41 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:41 SENDER-6    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:41 RECEIVER-3  ||  PACKET RECEIVED


21/09/2021 04:53:42 RECEIVER-1  ||  PACKET RECEIVED


21/09/2021 04:53:43 RECEIVER-6  ||  PACKET RECEIVED

21/09/2021 04:53:44 SENDER-4    ||  PACKET 6 SENT TO CHANNEL
21/09/2021 04:53:44 SENDER-5    ||  COLLISION
21/09/2021 04:53:44 SENDER-8    ||  COLLISION
21/09/2021 04:53:44 SENDER-2    ||  COLLISION
21/09/2021 04:53:44 SENDER-8    ||  PACKET 6 SENT TO CHANNEL
21/09/2021 04:53:44 SENDER-5    ||  PACKET 6 SENT TO CHANNEL
21/09/2021 04:53:44 SENDER-2    ||  PACKET 6 SENT TO CHANNEL
21/09/2021 04:53:45 SENDER-7    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:45 RECEIVER-4  ||  PACKET RECEIVED

21/09/2021 04:53:45 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:45 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:45 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:45 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:45 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:45 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:45 SENDER-5    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:46 RECEIVER-5  ||  PACKET RECEIVED


21/09/2021 04:53:47 RECEIVER-2  ||  PACKET RECEIVED


21/09/2021 04:53:47 RECEIVER-8  ||  PACKET RECEIVED

21/09/2021 04:53:49 SENDER-7    ||  PACKET 7 SENT TO CHANNEL
21/09/2021 04:53:49 SENDER-6    ||  PACKET 7 SENT TO CHANNEL
21/09/2021 04:53:49 SENDER-3    ||  PACKET 7 SENT TO CHANNEL
21/09/2021 04:53:49 SENDER-1    ||  PACKET 7 SENT TO CHANNEL
21/09/2021 04:53:49 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:49 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:49 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:49 SENDER-2    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:50 RECEIVER-7  ||  PACKET RECEIVED

21/09/2021 04:53:50 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:50 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:50 SENDER-3    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:51 RECEIVER-1  ||  PACKET RECEIVED


21/09/2021 04:53:51 RECEIVER-3  ||  PACKET RECEIVED


21/09/2021 04:53:52 RECEIVER-6  ||  PACKET RECEIVED

21/09/2021 04:53:53 SENDER-4    ||  PACKET 7 SENT TO CHANNEL
21/09/2021 04:53:53 SENDER-2    ||  PACKET 7 SENT TO CHANNEL
21/09/2021 04:53:53 SENDER-8    ||  PACKET 7 SENT TO CHANNEL
21/09/2021 04:53:53 SENDER-5    ||  PACKET 7 SENT TO CHANNEL
21/09/2021 04:53:54 SENDER-7    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:54 RECEIVER-4  ||  PACKET RECEIVED

21/09/2021 04:53:54 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:54 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:54 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:54 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:54 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:54 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:54 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:55 RECEIVER-2  ||  PACKET RECEIVED


21/09/2021 04:53:56 RECEIVER-8  ||  PACKET RECEIVED


21/09/2021 04:53:56 RECEIVER-5  ||  PACKET RECEIVED

21/09/2021 04:53:58 SENDER-7    ||  PACKET 8 SENT TO CHANNEL
21/09/2021 04:53:58 SENDER-3    ||  PACKET 8 SENT TO CHANNEL
21/09/2021 04:53:58 SENDER-6    ||  PACKET 8 SENT TO CHANNEL
21/09/2021 04:53:58 SENDER-1    ||  PACKET 8 SENT TO CHANNEL
21/09/2021 04:53:58 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:58 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:58 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:58 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:59 RECEIVER-7  ||  PACKET RECEIVED

21/09/2021 04:53:59 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:59 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:59 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:59 SENDER-3    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:00 RECEIVER-6  ||  PACKET RECEIVED


21/09/2021 04:54:01 RECEIVER-3  ||  PACKET RECEIVED


21/09/2021 04:54:01 RECEIVER-1  ||  PACKET RECEIVED

21/09/2021 04:54:02 SENDER-4    ||  PACKET 8 SENT TO CHANNEL
21/09/2021 04:54:02 SENDER-5    ||  PACKET 8 SENT TO CHANNEL
21/09/2021 04:54:02 SENDER-2    ||  PACKET 8 SENT TO CHANNEL
21/09/2021 04:54:02 SENDER-8    ||  COLLISION
21/09/2021 04:54:03 SENDER-8    ||  PACKET 8 SENT TO CHANNEL
21/09/2021 04:54:03 SENDER-7    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:03 RECEIVER-4  ||  PACKET RECEIVED

21/09/2021 04:54:03 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:03 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:03 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:03 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:04 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:04 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:04 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:04 RECEIVER-2  ||  PACKET RECEIVED


21/09/2021 04:54:05 RECEIVER-5  ||  PACKET RECEIVED


21/09/2021 04:54:06 RECEIVER-8  ||  PACKET RECEIVED

21/09/2021 04:54:07 SENDER-7    ||  PACKET 9 SENT TO CHANNEL
21/09/2021 04:54:07 SENDER-3    ||  PACKET 9 SENT TO CHANNEL
21/09/2021 04:54:07 SENDER-6    ||  PACKET 9 SENT TO CHANNEL
21/09/2021 04:54:07 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:08 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:08 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:08 RECEIVER-7  ||  PACKET RECEIVED

21/09/2021 04:54:08 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:08 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:08 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:08 SENDER-1    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:09 RECEIVER-3  ||  PACKET RECEIVED


21/09/2021 04:54:10 RECEIVER-6  ||  PACKET RECEIVED


21/09/2021 04:54:10 RECEIVER-1  ||  PACKET RECEIVED

21/09/2021 04:54:11 SENDER-4    ||  PACKET 9 SENT TO CHANNEL
21/09/2021 04:54:12 SENDER-2    ||  PACKET 9 SENT TO CHANNEL
21/09/2021 04:54:12 SENDER-5    ||  PACKET 9 SENT TO CHANNEL
21/09/2021 04:54:12 SENDER-8    ||  PACKET 9 SENT TO CHANNEL
21/09/2021 04:54:12 SENDER-7    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:12 RECEIVER-4  ||  PACKET RECEIVED

21/09/2021 04:54:12 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:12 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:12 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:13 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:13 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:13 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:13 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:13 RECEIVER-2  ||  PACKET RECEIVED


21/09/2021 04:54:14 RECEIVER-5  ||  PACKET RECEIVED


21/09/2021 04:54:15 RECEIVER-8  ||  PACKET RECEIVED

21/09/2021 04:54:16 SENDER-7    ||  PACKET 10 SENT TO CHANNEL
21/09/2021 04:54:16 SENDER-3    ||  PACKET 10 SENT TO CHANNEL
21/09/2021 04:54:16 SENDER-1    ||  COLLISION
21/09/2021 04:54:16 SENDER-6    ||  COLLISION
21/09/2021 04:54:17 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:17 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:17 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:17 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:17 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:17 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:17 RECEIVER-7  ||  PACKET RECEIVED

21/09/2021 04:54:17 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:18 SENDER-3    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:18 RECEIVER-3  ||  PACKET RECEIVED

21/09/2021 04:54:21 SENDER-6    ||  PACKET 10 SENT TO CHANNEL
21/09/2021 04:54:21 SENDER-1    ||  PACKET 10 SENT TO CHANNEL
21/09/2021 04:54:21 SENDER-4    ||  COLLISION
21/09/2021 04:54:21 SENDER-2    ||  PACKET 10 SENT TO CHANNEL
21/09/2021 04:54:21 SENDER-4    ||  PACKET 10 SENT TO CHANNEL
21/09/2021 04:54:21 SENDER-5    ||  PACKET 10 SENT TO CHANNEL
21/09/2021 04:54:21 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:21 SENDER-7    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:21 RECEIVER-6  ||  PACKET RECEIVED

21/09/2021 04:54:22 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:22 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:22 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:22 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:22 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:22 SENDER-2    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:22 RECEIVER-1  ||  PACKET RECEIVED


21/09/2021 04:54:23 RECEIVER-2  ||  PACKET RECEIVED


21/09/2021 04:54:24 RECEIVER-4  ||  PACKET RECEIVED


21/09/2021 04:54:25 RECEIVER-5  ||  PACKET RECEIVED

21/09/2021 04:54:25 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:25 SENDER-7    ||  PACKET 11 SENT TO CHANNEL
21/09/2021 04:54:26 SENDER-3    ||  PACKET 11 SENT TO CHANNEL
21/09/2021 04:54:26 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:26 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:26 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:26 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:26 SENDER-5    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:26 RECEIVER-7  ||  PACKET RECEIVED

21/09/2021 04:54:27 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:27 SENDER-3    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:27 RECEIVER-3  ||  PACKET RECEIVED

21/09/2021 04:54:29 SENDER-8    ||  PACKET 10 SENT TO CHANNEL
21/09/2021 04:54:30 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:30 SENDER-1    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:30 RECEIVER-8  ||  PACKET RECEIVED

21/09/2021 04:54:30 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:30 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:30 SENDER-8    ||  PACKET 11 SENT TO CHANNEL
21/09/2021 04:54:31 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:54:31 SENDER-3    ||  FOUND CHANNEL BUSY

21/09/2021 04:54:31 RECEIVER-8  ||  PACKET RECEIVED

21/09/2021 04:54:31 SENDER-8    ||  PACKET 12 SENT TO CHANNEL

21/09/2021 04:54:32 RECEIVER-8  ||  PACKET RECEIVED

