

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


27/09/2021 23:14:21 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/09/2021 23:14:21 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/09/2021 23:14:22 ||| CHANNEL...   ||  [-1, -1, 1, 1]-1
27/09/2021 23:14:22 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/09/2021 23:14:22 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/09/2021 23:14:22 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/09/2021 23:14:22 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/09/2021 23:14:23 ||| CHANNEL...   ||  [-1, 1, -1, 1]-1
27/09/2021 23:14:23 ||| SENDER-2     ||  DATA BIT SEND -1
27/09/2021 23:14:23 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/09/2021 23:14:23 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/09/2021 23:14:23 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/09/2021 23:14:23 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/09/2021 23:14:23 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/09/2021 23:14:24 ||| CHANNEL...   ||  [-1, 1, -1, 1]1
27/09/2021 23:14:24 ||| SENDER-2     ||  DATA BIT SEND -1
27/09/2021 23:14:24 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/09/2021 23:14:24 ||| SENDER-4     ||  DATA BIT SEND 1
27/09/2021 23:14:24 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/09/2021 23:14:24 ||| RECEIVER-1   ||  BIT RECEIVED : 1
27/09/2021 23:14:25 ||| SENDER-3     ||  DATA BIT SEND 1
27/09/2021 23:14:25 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/09/2021 23:14:25 ||| CHANNEL...   ||  [-1, 1, 1, -1]-1
27/09/2021 23:14:25 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/09/2021 23:14:25 ||| RECEIVER-3   ||  BIT RECEIVED : 1
27/09/2021 23:14:25 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/09/2021 23:14:25 ||| DATA : [0, 1, 1, 0, 0, 0, 1, 1]
27/09/2021 23:14:25 ||| DATA : [0, 1, 1, 0, 0, 0, 1, 0]

27/09/2021 23:14:25 ||| CHAR RECEIVED : c


27/09/2021 23:14:25 ||| CHAR RECEIVED : b

27/09/2021 23:14:26 ||| SENDER-2     ||  DONE SENDING...
27/09/2021 23:14:26 ||| SENDER-4     ||  DONE SENDING...
